
0xB56B  0xC2AE  0xE188  0x86CB  0x29CE  0xE611  0x228B  0xC250  0xBD90  0xCCE6  0x031F  0x7C59  0x9E8D  0x86B7  0xC2D8  
0xF677  0x7C84  0xD317  0x9EAF  0x3DD5  0x1AAA  0x4AAA  0x5A8C  0x6702  0xF895  0xF932  0x20F1  0x1CCC  0x96A2  0x8D19  
0x1970  0x81FE  0x203B  0x4536  0x7A4A  0x1887  0x2CC0  0x8D51  0x8D34  0x5E38  0xB491  0xFA30  0x8B71  0x2324  0xE4A7  
0x2927  0x293E  0x6ED5  0x456D  0xA79D  0x27E5  0x5C6D  0xF3E3  0x75C4  0x029E  0xBF6E  0xBFC1  0x070E  0xE126  0xF2B5  
0xB5CC  0x210D  0x4CAE  0x78D9  0xD329  0xAF04  0xB259  0x9128  0x6C95  0xD3FF  0xA1C3  0x60D6  0x96E5  0x880F  0x10DC  
0x3E6C  0xBCA6  0x4BB9  0x0889  0x39F0  0xB34C  0x62BB  0x4CF8  0xB816  0xD5AC  0x4173  0x1B79  0x0984  0xE05C  0x4C19  
0xE7E8  0x6631  0x3105  0xB387  0x7814  0xE71C  0x033C  0x8AB5  0x044D  0x6E2D  0x9520  0xCBCA  0x43CD  0xCF1B  0x41A9  
0x7095  0x3208  0xC017  0x3A91  0x17F5  0x8F41  0xA290  0xFCC7  0x633D  0x1CF4  0xA321  0x384B  0x3429  0xD4DE  0x7670  
0x5255  0x8CB4  0x718A  0x3867  0x407F  0xD03C  0xADD2  0x9BC9  0xE1D2  0x09AE  0x54B2  0x1D42  0xB563  0x30F3  0x5998  
0x80AC  0x1396  0x43E2  0xFADF  0xF1F3  0xC8AF  0xC095  0x1F87  0x8C77  0x2EA6  0xE5E6  0x5F4F  0x8941  0xA900  0x0395  
0x0621  0x875A  0xD358  0x79F0  0xC1BF  0x5F33  0x2BE4  0x5AD5  0xEA26  0x7C89  0xC4D0  0x545E  0xD15A  0x0120  0x5FAF  
0x56C2  0xDE42  0x699F  0x7F05  0x896B  0xC1F3  0xDE34  0x90D9  0xB9CC  0xE919  0xEF94  0xC1FC  0xF020  0x26D8  0x9926  
0x1A7E  0xF810  0x903E  0xCD7A  0x84C6  0xFA78  0x4DD7  0x2B17  0xC15B  0x1966  0x972A  0x5868  0x4DA2  0xFB7B  0x46A5  
0x9B06  0x7259  0xC642  0x7862  0x639D  0x1A96  0xD036  0x75C6  0x8ABD  0x2FA1  0xF10F  0xB768  0x7A62  0x629E  0x066F  
0x6881  0xCB86  0x6E1F  0x4577  0x657C  0x0E76  0xF682  0xEA74  0x98AE  0x45B8  0x813E  0xC6BF  0x5674  0xC49F  0xBA37  
0xA77E  0x949C  0x798C  0x214E  0x3478  0x5C2F  0xA69D  0x410A  0xA3AA  0x19C2  0x475D  0x3FD6  0x06FF  0x3C2C  0xEBE8  
0x9587  0xB3E4  0x1DDA  0x14A9  0x34BE  0x7B24  0x35B5  0xFBAC  0x4B99  0xB602  0x3EF9  0xB7CC  0xA0F6  0x82B1  0x07D7  
0xB491  0xFB9D  0x96DE  0xEB9E  0xE5FB  0x1435  0x9578  0x6BBB  0x96B9  0xC9F4  0x5A4E  0x6590  0xFB9F  0x3ED8  0xCC1F  
0x3327  0xD775  0xBB66  0xF7FE  0xAB80  0x71F8  0xD4D5  0xC4C6  0xF73E  0xD34E  0x8EFF  0xCF67  0x72BB  0x6FE9  0x7AF1  
0x6D1E  0x81DD  0xA712  0xE719  0xFBDF  0xFD39  0xECFD  0xFB4C  0xFACE  0x7137  0x22DC  0x1F9E  0xF39F  0xFDA6  0x194B  
0x3187  0x2F09  0xBFB9  0x3EA6  0x34F7  0xA228  0x0DD4  0xEE1E  0xFBFB  0x3D35  0xFED8  0xD54F  0x5BC6  0x92CF  0xBA79  
0xC6E6  0xD9E7  0xC95B  0xBE5A  0x94B0  0x7ECB  0x0DDD  0xDE7A  0x07EF  0xAC5A  0x61F2  0x9CBC  0x0B9F  0x7A7B  0x37F9  
0xC272  0xFF9D  0x4C3E  0x1EBB  0xDB2E  0xCAEE  0xA777  0xBF1A  0xF7DF  0xA536  0xEA7F  0xBAF7  0xF00A  0x8BFD  0x6F7C  
0xDDF7  0x6AB4  0x515A  0x36FF  0xEF9D  0xD274  0x5AE7  0xE5CD  0xE2B1  0xCFBF  0x3EE9  0x3E1A  0x929B  0x9FCF  0x8D3D  
0x6E93  0x2D39  0xBA2B  0xE59F  0xAFB0  0xDFB9  0xF37E  0x8678  0x7FB5  0xDBFC  0x9AE0  0xB6F4  0x1A87  0x337E  0x8B1C  
0xBBF3  0x6A5B  0x6C7C  0x8F95  0x9F1E  0xC7D9  0xBD4C  0xA3CE  0xFBEC  0xDDEF  0x1289  0x6B7F  0x3ACB  0xDCBF  0x76B7  
0xE108  0xE39D  0x3F5B  0xCB1F  0xF3FD  0xD537  0x424B  0xCADD  0x3ABB  0x4F7C  0xCED5  0x979C  0xFCFE  0xD26C  0xFBFF  
0x7B73  0x363C  0xB58B  0x5F5F  0x377A  0xF9FE  0xD7EE  0xFF5B  0x156F  0x798E  0xD745  0x392E  0x7898  0x7DDF  0x9242  
0xD5F5  0x8FD7  0xB6F7  0x3BFF  0xF4C9  0xAB0D  0x8B27  0xC896  0xA6FE  0xD206  0x55FB  0x78D6  0x7D2A  0x3EE6  0xB3B5  
0x0FD6  0xFDFA  0xD637  0x993F  0xFBB2  0x36FA  0xEEF9  0x4BC2  0x7CFA  0xBAB7  0x97E0  0x39D7  0xAF6F  0xD0F4  0xEEFC  
